_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
144.0142861,16.7645278,I/297/out,"NOMAD1===1067-0181119&-c=144.0142861 +16.7645278,eq=J2000&-c.rs=",181750.0,0.000687,,2MASS:H
144.0142861,16.7645278,I/297/out,"NOMAD1===1067-0181119&-c=144.0142861 +16.7645278,eq=J2000&-c.rs=",241960.0,0.000734,,2MASS:J
144.0158667,16.7603972,I/297/out,"NOMAD1===1067-0181125&-c=144.0158667 +16.7603972,eq=J2000&-c.rs=",181750.0,0.00161,,2MASS:H
144.0158667,16.7603972,I/297/out,"NOMAD1===1067-0181125&-c=144.0158667 +16.7603972,eq=J2000&-c.rs=",241960.0,0.00145,,2MASS:J
144.015617,16.767185,I/305/out,"GSC2.3===N8Z3000640&-c=144.015617 +16.767185,eq=J2000&-c.rs=0.00",640580.0,6.15e-06,3.84e-06,POSS-II:J
144.014261,16.764494,I/305/out,"GSC2.3===N8Z3000621&-c=144.014261 +16.764494,eq=J2000&-c.rs=0.00",382540.0,0.000771,0.000306,POSS-II:i
144.014261,16.764494,I/305/out,"GSC2.3===N8Z3000621&-c=144.014261 +16.764494,eq=J2000&-c.rs=0.00",468430.0,0.000825,0.000327,POSS-II:F
144.014261,16.764494,I/305/out,"GSC2.3===N8Z3000621&-c=144.014261 +16.764494,eq=J2000&-c.rs=0.00",640580.0,0.000421,0.000163,POSS-II:J
144.014261,16.764494,I/305/out,"GSC2.3===N8Z3000621&-c=144.014261 +16.764494,eq=J2000&-c.rs=0.00",674900.0,0.000281,0.000114,Johnson:B
144.016018,16.760369,I/305/out,"GSC2.3===N8Z3000620&-c=144.016018 +16.760369,eq=J2000&-c.rs=0.00",382540.0,0.00723,0.00287,POSS-II:i
144.016018,16.760369,I/305/out,"GSC2.3===N8Z3000620&-c=144.016018 +16.760369,eq=J2000&-c.rs=0.00",468430.0,0.0291,0.0113,POSS-II:F
144.016018,16.760369,I/305/out,"GSC2.3===N8Z3000620&-c=144.016018 +16.760369,eq=J2000&-c.rs=0.00",640580.0,0.0354,0.0137,POSS-II:J
144.016018,16.760369,I/305/out,"GSC2.3===N8Z3000620&-c=144.016018 +16.760369,eq=J2000&-c.rs=0.00",674900.0,0.0295,0.012,Johnson:B
144.010832,16.764255,I/305/out,"GSC2.3===N8Z3000609&-c=144.010832 +16.764255,eq=J2000&-c.rs=0.00",640580.0,1.22e-05,6.8e-06,POSS-II:J
144.024993,16.763951,I/305/out,"GSC2.3===N8Z3000607&-c=144.024993 +16.763951,eq=J2000&-c.rs=0.00",640580.0,4.66e-06,3.65e-06,POSS-II:J
144.011615,16.761474,I/305/out,"GSC2.3===N8Z3000582&-c=144.011615 +16.761474,eq=J2000&-c.rs=0.00",640580.0,1.42e-05,6.6e-06,POSS-II:J
144.01424694,16.76449597,I/317/sample,"PPMXL=4092356473089353422&-c=144.014247 +16.764496,eq=J2000&-c.r",138550.0,0.000449,7.8e-05,2MASS:Ks
144.01424694,16.76449597,I/317/sample,"PPMXL=4092356473089353422&-c=144.014247 +16.764496,eq=J2000&-c.r",181750.0,0.000687,7.2e-05,2MASS:H
144.01424694,16.76449597,I/317/sample,"PPMXL=4092356473089353422&-c=144.014247 +16.764496,eq=J2000&-c.r",241960.0,0.000734,4.9e-05,2MASS:J
144.01597691,16.76035297,I/317/sample,"PPMXL=4092356465504364721&-c=144.015977 +16.760353,eq=J2000&-c.r",138550.0,0.0017,0.00014,2MASS:Ks
144.01597691,16.76035297,I/317/sample,"PPMXL=4092356465504364721&-c=144.015977 +16.760353,eq=J2000&-c.r",181750.0,0.0016,0.00018,2MASS:H
144.01597691,16.76035297,I/317/sample,"PPMXL=4092356465504364721&-c=144.015977 +16.760353,eq=J2000&-c.r",241960.0,0.00145,0.00013,2MASS:J
144.01422,16.76451898,I/319/xpm,"-c=144.014220 +16.764519,eq=ICRS&-c.rs=0.004",138550.0,0.000449,7.8e-05,2MASS:Ks
144.01422,16.76451898,I/319/xpm,"-c=144.014220 +16.764519,eq=ICRS&-c.rs=0.004",181750.0,0.000687,7.2e-05,2MASS:H
144.01422,16.76451898,I/319/xpm,"-c=144.014220 +16.764519,eq=ICRS&-c.rs=0.004",241960.0,0.000734,4.9e-05,2MASS:J
144.0142371,16.7646081,I/322A/out,"UCAC4===534-049120&-c=144.0142371 +16.7646081,eq=J2000&-c.rs=0.0",138550.0,0.000449,7.9e-05,2MASS:Ks
144.0142371,16.7646081,I/322A/out,"UCAC4===534-049120&-c=144.0142371 +16.7646081,eq=J2000&-c.rs=0.0",181750.0,0.000687,7e-05,2MASS:H
144.0142371,16.7646081,I/322A/out,"UCAC4===534-049120&-c=144.0142371 +16.7646081,eq=J2000&-c.rs=0.0",241960.0,0.000734,4.7e-05,2MASS:J
144.01416492,16.76453102,I/327/cmc15,"-c=144.014165 +16.764531,eq=ICRS&-c.rs=0.004",241960.0,0.000734,,2MASS:J
144.014230251,16.764472187,I/331/apop,"-c=144.0142303 +16.7644722,eq=ICRS&-c.rs=0.004",138550.0,0.000449,,2MASS:Ks
144.014230251,16.764472187,I/331/apop,"-c=144.0142303 +16.7644722,eq=ICRS&-c.rs=0.004",181750.0,0.000687,,2MASS:H
144.014230251,16.764472187,I/331/apop,"-c=144.0142303 +16.7644722,eq=ICRS&-c.rs=0.004",241960.0,0.000734,,2MASS:J
144.015966892,16.760386884,I/331/apop,"-c=144.0159669 +16.7603869,eq=ICRS&-c.rs=0.004",138550.0,0.0017,,2MASS:Ks
144.015966892,16.760386884,I/331/apop,"-c=144.0159669 +16.7603869,eq=ICRS&-c.rs=0.004",181750.0,0.0016,,2MASS:H
144.015966892,16.760386884,I/331/apop,"-c=144.0159669 +16.7603869,eq=ICRS&-c.rs=0.004",241960.0,0.00144,,2MASS:J
144.014203573817,16.764504903419,I/337/gaia,"-c=144.0142035738 +16.7645049034,eq=ICRS&-c.rs=0.004",445460.0,0.000556,,Gaia:G
144.0142404298,16.7645230201,I/339/hsoy,"-c=144.0142404298 +16.7645230201,eq=J2000&-c.rs=0.004",181750.0,0.000687,7.2e-05,2MASS:H
144.0142404298,16.7645230201,I/339/hsoy,"-c=144.0142404298 +16.7645230201,eq=J2000&-c.rs=0.004",241960.0,0.000734,4.9e-05,2MASS:J
144.0142404298,16.7645230201,I/339/hsoy,"-c=144.0142404298 +16.7645230201,eq=J2000&-c.rs=0.004",445460.0,0.000555,1e-06,Gaia:G
144.014249149,16.764614815,I/340/ucac5,"-c=144.0142461 +16.7646075,eq=J2000&-c.rs=0.004",181750.0,0.000687,,2MASS:H
144.014249149,16.764614815,I/340/ucac5,"-c=144.0142461 +16.7646075,eq=J2000&-c.rs=0.004",241960.0,0.000734,,2MASS:J
144.014249149,16.764614815,I/340/ucac5,"-c=144.0142461 +16.7646075,eq=J2000&-c.rs=0.004",445460.0,0.000555,,Gaia:G
144.01595030398,16.76036602431,I/343/gps1,"-c=144.015934606 +16.760357594,eq=ICRS&-c.rs=0.004",138550.0,0.0017,0.00014,2MASS:Ks
144.01595030398,16.76036602431,I/343/gps1,"-c=144.015934606 +16.760357594,eq=ICRS&-c.rs=0.004",181750.0,0.0016,0.00018,2MASS:H
144.01595030398,16.76036602431,I/343/gps1,"-c=144.015934606 +16.760357594,eq=ICRS&-c.rs=0.004",241960.0,0.00144,0.00013,2MASS:J
144.01595030398,16.76036602431,I/343/gps1,"-c=144.015934606 +16.760357594,eq=ICRS&-c.rs=0.004",312400.0,0.000347,4.2e-05,PAN-STARRS/PS1:y
144.01595030398,16.76036602431,I/343/gps1,"-c=144.015934606 +16.760357594,eq=ICRS&-c.rs=0.004",400800.0,0.00041,1.8e-05,PAN-STARRS/PS1:i
144.01595030398,16.76036602431,I/343/gps1,"-c=144.015934606 +16.760357594,eq=ICRS&-c.rs=0.004",489400.0,0.000351,2.1e-05,PAN-STARRS/PS1:r
144.01595030398,16.76036602431,I/343/gps1,"-c=144.015934606 +16.760357594,eq=ICRS&-c.rs=0.004",628200.0,0.000271,8e-06,PAN-STARRS/PS1:g
144.01418582006,16.76450640683,I/343/gps1,"-c=144.014188675 +16.764498088,eq=ICRS&-c.rs=0.004",138550.0,0.000449,7.7e-05,2MASS:Ks
144.01418582006,16.76450640683,I/343/gps1,"-c=144.014188675 +16.764498088,eq=ICRS&-c.rs=0.004",181750.0,0.000687,7.2e-05,2MASS:H
144.01418582006,16.76450640683,I/343/gps1,"-c=144.014188675 +16.764498088,eq=ICRS&-c.rs=0.004",241960.0,0.000734,4.9e-05,2MASS:J
144.01418582006,16.76450640683,I/343/gps1,"-c=144.014188675 +16.764498088,eq=ICRS&-c.rs=0.004",312400.0,0.000488,6e-06,PAN-STARRS/PS1:y
144.01418582006,16.76450640683,I/343/gps1,"-c=144.014188675 +16.764498088,eq=ICRS&-c.rs=0.004",400800.0,0.000523,3e-06,PAN-STARRS/PS1:i
144.01418582006,16.76450640683,I/343/gps1,"-c=144.014188675 +16.764498088,eq=ICRS&-c.rs=0.004",445460.0,0.000556,1e-06,Gaia:G
144.01418582006,16.76450640683,I/343/gps1,"-c=144.014188675 +16.764498088,eq=ICRS&-c.rs=0.004",489400.0,0.000544,2e-06,PAN-STARRS/PS1:r
144.01418582006,16.76450640683,I/343/gps1,"-c=144.014188675 +16.764498088,eq=ICRS&-c.rs=0.004",628200.0,0.000452,1e-06,PAN-STARRS/PS1:g
144.0180083714487,16.7639846942106,I/345/gaia2,"-c=144.01800837145 +16.76398469421,eq=ICRS&-c.rs=0.004",481500.0,1.14e-05,3e-07,GAIA/GAIA2:G
144.0142217886049,16.7645277544302,I/345/gaia2,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",388100.0,0.000738,1.1e-05,GAIA/GAIA2:Grp
144.0142217886049,16.7645277544302,I/345/gaia2,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",481500.0,0.000551,0.0,GAIA/GAIA2:G
144.0142217886049,16.7645277544302,I/345/gaia2,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",594100.0,0.000424,3e-06,GAIA/GAIA2:Gbp
144.0200431381831,16.7708158715962,I/345/gaia2,"-c=144.02004313818 +16.77081587160,eq=ICRS&-c.rs=0.004",388100.0,3.72e-05,3e-06,GAIA/GAIA2:Grp
144.0200431381831,16.7708158715962,I/345/gaia2,"-c=144.02004313818 +16.77081587160,eq=ICRS&-c.rs=0.004",481500.0,1.38e-05,3e-07,GAIA/GAIA2:G
144.0200431381831,16.7708158715962,I/345/gaia2,"-c=144.02004313818 +16.77081587160,eq=ICRS&-c.rs=0.004",594100.0,1.45e-05,3.5e-06,GAIA/GAIA2:Gbp
144.0200693916157,16.7708565407697,I/350/gaiaedr3,"-c=144.02004300764 +16.77081373622,eq=ICRS&-c.rs=0.004",393400.0,3.54e-05,4.6e-06,GAIA/GAIA3:Grp
144.0200693916157,16.7708565407697,I/350/gaiaedr3,"-c=144.02004300764 +16.77081373622,eq=ICRS&-c.rs=0.004",514900.0,1.48e-05,1e-07,GAIA/GAIA3:G
144.0200693916157,16.7708565407697,I/350/gaiaedr3,"-c=144.02004300764 +16.77081373622,eq=ICRS&-c.rs=0.004",595300.0,1.08e-05,2.3e-06,GAIA/GAIA3:Gbp
144.0180070715938,16.7639854437552,I/350/gaiaedr3,"-c=144.01800707159 +16.76398544376,eq=ICRS&-c.rs=0.004",393400.0,3.37e-05,2.8e-06,GAIA/GAIA3:Grp
144.0180070715938,16.7639854437552,I/350/gaiaedr3,"-c=144.01800707159 +16.76398544376,eq=ICRS&-c.rs=0.004",514900.0,1.21e-05,3e-07,GAIA/GAIA3:G
144.0180070715938,16.7639854437552,I/350/gaiaedr3,"-c=144.01800707159 +16.76398544376,eq=ICRS&-c.rs=0.004",595300.0,1.06e-05,2.6e-06,GAIA/GAIA3:Gbp
144.0142212586507,16.7645286591201,I/350/gaiaedr3,"-c=144.01420241423 +16.76450341723,eq=ICRS&-c.rs=0.004",393400.0,0.000711,4e-06,GAIA/GAIA3:Grp
144.0142212586507,16.7645286591201,I/350/gaiaedr3,"-c=144.01420241423 +16.76450341723,eq=ICRS&-c.rs=0.004",514900.0,0.000547,1e-06,GAIA/GAIA3:G
144.0142212586507,16.7645286591201,I/350/gaiaedr3,"-c=144.01420241423 +16.76450341723,eq=ICRS&-c.rs=0.004",595300.0,0.000428,2e-06,GAIA/GAIA3:Gbp
144.015958639211,16.7603723126661,I/350/gaiaedr3,"-c=144.01595863921 +16.76037231267,eq=ICRS&-c.rs=0.004",393400.0,0.000708,6e-06,GAIA/GAIA3:Grp
144.015958639211,16.7603723126661,I/350/gaiaedr3,"-c=144.01595863921 +16.76037231267,eq=ICRS&-c.rs=0.004",514900.0,1.65e-05,4e-07,GAIA/GAIA3:G
144.015958639211,16.7603723126661,I/350/gaiaedr3,"-c=144.01595863921 +16.76037231267,eq=ICRS&-c.rs=0.004",595300.0,0.000364,6e-06,GAIA/GAIA3:Gbp
144.0146293315107,16.7574619040336,I/353/gsc242,"-c=144.01462933151 +16.75746190403,eq=ICRS&-c.rs=0.004",332440.0,5.09e-06,3.01e-06,SDSS:z
144.0146293315107,16.7574619040336,I/353/gsc242,"-c=144.01462933151 +16.75746190403,eq=ICRS&-c.rs=0.004",392660.0,2.5e-06,1.03e-06,SDSS:i
144.0146293315107,16.7574619040336,I/353/gsc242,"-c=144.01462933151 +16.75746190403,eq=ICRS&-c.rs=0.004",479900.0,3.39e-06,7.9e-07,SDSS:r
144.0146293315107,16.7574619040336,I/353/gsc242,"-c=144.01462933151 +16.75746190403,eq=ICRS&-c.rs=0.004",621980.0,8.38e-06,6e-07,SDSS:g
144.0146293315107,16.7574619040336,I/353/gsc242,"-c=144.01462933151 +16.75746190403,eq=ICRS&-c.rs=0.004",851920.0,6.68e-06,1.16e-06,SDSS:u
144.01094123,16.76006645,I/353/gsc242,"-c=144.01094123000 +16.76006645000,eq=ICRS&-c.rs=0.004",479900.0,5.61e-06,9.2e-07,SDSS:r
144.01094123,16.76006645,I/353/gsc242,"-c=144.01094123000 +16.76006645000,eq=ICRS&-c.rs=0.004",621980.0,6.16e-06,3.1e-07,SDSS:g
144.0111771208322,16.7590032185487,I/353/gsc242,"-c=144.01117712083 +16.75900321855,eq=ICRS&-c.rs=0.004",332440.0,2.31e-06,1.25e-06,SDSS:z
144.0111771208322,16.7590032185487,I/353/gsc242,"-c=144.01117712083 +16.75900321855,eq=ICRS&-c.rs=0.004",392660.0,2.01e-06,7.4e-07,SDSS:i
144.0111771208322,16.7590032185487,I/353/gsc242,"-c=144.01117712083 +16.75900321855,eq=ICRS&-c.rs=0.004",479900.0,9.92e-07,5.06e-07,SDSS:r
144.0111771208322,16.7590032185487,I/353/gsc242,"-c=144.01117712083 +16.75900321855,eq=ICRS&-c.rs=0.004",621980.0,1.26e-06,4e-07,SDSS:g
144.0111771208322,16.7590032185487,I/353/gsc242,"-c=144.01117712083 +16.75900321855,eq=ICRS&-c.rs=0.004",851920.0,7.83e-06,1.02e-06,SDSS:u
144.0125342984767,16.7593162251452,I/353/gsc242,"-c=144.01253429848 +16.75931622515,eq=ICRS&-c.rs=0.004",332440.0,3.33e-06,1.75e-06,SDSS:z
144.0125342984767,16.7593162251452,I/353/gsc242,"-c=144.01253429848 +16.75931622515,eq=ICRS&-c.rs=0.004",392660.0,6.12e-07,3.75e-07,SDSS:i
144.0125342984767,16.7593162251452,I/353/gsc242,"-c=144.01253429848 +16.75931622515,eq=ICRS&-c.rs=0.004",479900.0,4.37e-07,3.03e-07,SDSS:r
144.0125342984767,16.7593162251452,I/353/gsc242,"-c=144.01253429848 +16.75931622515,eq=ICRS&-c.rs=0.004",621980.0,9.93e-07,3.83e-07,SDSS:g
144.0125342984767,16.7593162251452,I/353/gsc242,"-c=144.01253429848 +16.75931622515,eq=ICRS&-c.rs=0.004",851920.0,7.14e-06,9.9e-07,SDSS:u
144.0152972227809,16.7552842209616,I/353/gsc242,"-c=144.01529722278 +16.75528422096,eq=ICRS&-c.rs=0.004",332440.0,4.36e-06,1.86e-06,SDSS:z
144.0152972227809,16.7552842209616,I/353/gsc242,"-c=144.01529722278 +16.75528422096,eq=ICRS&-c.rs=0.004",392660.0,4.35e-07,2.18e-07,SDSS:i
144.0152972227809,16.7552842209616,I/353/gsc242,"-c=144.01529722278 +16.75528422096,eq=ICRS&-c.rs=0.004",479900.0,6.89e-07,3.79e-07,SDSS:r
144.0152972227809,16.7552842209616,I/353/gsc242,"-c=144.01529722278 +16.75528422096,eq=ICRS&-c.rs=0.004",621980.0,1.57e-06,3.7e-07,SDSS:g
144.0152972227809,16.7552842209616,I/353/gsc242,"-c=144.01529722278 +16.75528422096,eq=ICRS&-c.rs=0.004",851920.0,1.47e-06,7.9e-07,SDSS:u
144.0116119384766,16.7614727020264,I/353/gsc242,"-c=144.01161193848 +16.76147270203,eq=ICRS&-c.rs=0.004",332440.0,1.84e-06,1.21e-06,SDSS:z
144.0116119384766,16.7614727020264,I/353/gsc242,"-c=144.01161193848 +16.76147270203,eq=ICRS&-c.rs=0.004",392660.0,3.78e-06,1.02e-06,SDSS:i
144.0116119384766,16.7614727020264,I/353/gsc242,"-c=144.01161193848 +16.76147270203,eq=ICRS&-c.rs=0.004",479900.0,3.97e-06,7.4e-07,SDSS:r
144.0116119384766,16.7614727020264,I/353/gsc242,"-c=144.01161193848 +16.76147270203,eq=ICRS&-c.rs=0.004",621980.0,4.64e-06,5.2e-07,SDSS:g
144.0116119384766,16.7614727020264,I/353/gsc242,"-c=144.01161193848 +16.76147270203,eq=ICRS&-c.rs=0.004",851920.0,1.96e-06,1.07e-06,SDSS:u
144.02481471,16.76362006,I/353/gsc242,"-c=144.02481471000 +16.76362006000,eq=ICRS&-c.rs=0.004",332440.0,1.7e-05,2.6e-06,SDSS:z
144.02481471,16.76362006,I/353/gsc242,"-c=144.02481471000 +16.76362006000,eq=ICRS&-c.rs=0.004",392660.0,1.33e-05,7e-07,SDSS:i
144.02481471,16.76362006,I/353/gsc242,"-c=144.02481471000 +16.76362006000,eq=ICRS&-c.rs=0.004",479900.0,9.12e-06,5.2e-07,SDSS:r
144.02481471,16.76362006,I/353/gsc242,"-c=144.02481471000 +16.76362006000,eq=ICRS&-c.rs=0.004",621980.0,5.47e-06,4.1e-07,SDSS:g
144.02481471,16.76362006,I/353/gsc242,"-c=144.02481471000 +16.76362006000,eq=ICRS&-c.rs=0.004",851920.0,3.94e-06,1.19e-06,SDSS:u
144.0106445267903,16.7638785135069,I/353/gsc242,"-c=144.01091892000 +16.76437221000,eq=ICRS&-c.rs=0.004",332440.0,1.57e-05,2e-06,SDSS:z
144.0106445267903,16.7638785135069,I/353/gsc242,"-c=144.01091892000 +16.76437221000,eq=ICRS&-c.rs=0.004",392660.0,1.12e-05,1.1e-06,SDSS:i
144.0106445267903,16.7638785135069,I/353/gsc242,"-c=144.01091892000 +16.76437221000,eq=ICRS&-c.rs=0.004",479900.0,8.06e-06,7.5e-07,SDSS:r
144.0106445267903,16.7638785135069,I/353/gsc242,"-c=144.01091892000 +16.76437221000,eq=ICRS&-c.rs=0.004",621980.0,5.1e-06,2.7e-07,SDSS:g
144.0106445267903,16.7638785135069,I/353/gsc242,"-c=144.01091892000 +16.76437221000,eq=ICRS&-c.rs=0.004",851920.0,1.4e-06,1.34e-06,SDSS:u
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",13571.0,0.0222,0.0016,WISE:W4
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",25934.0,0.0108,0.0002,WISE:W3
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",65172.0,0.00151,4e-05,WISE:W2
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",89490.0,0.00231,5e-05,WISE:W1
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",138550.0,0.0017,0.00014,2MASS:Ks
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",181750.0,0.0016,0.00018,2MASS:H
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",241960.0,0.00144,0.00013,2MASS:J
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",1296700.0,0.000597,1.6e-05,GALEX:NUV
144.0160212324916,16.7603683136924,I/353/gsc242,"-c=144.01602172852 +16.76036834717,eq=ICRS&-c.rs=0.004",1960700.0,0.000457,2.5e-05,GALEX:FUV
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",13571.0,0.00326,0.00132,WISE:W4
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",25934.0,0.000429,0.000156,WISE:W3
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",65172.0,0.000159,1.3e-05,WISE:W2
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",89490.0,0.000277,1e-05,WISE:W1
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",138550.0,0.000449,7.8e-05,2MASS:Ks
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",181750.0,0.000687,7.2e-05,2MASS:H
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",241960.0,0.000734,4.9e-05,2MASS:J
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",332440.0,0.000769,1e-05,SDSS:z
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",392660.0,0.000737,4e-06,SDSS:i
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",445460.0,0.000362,2e-06,Gaia:G
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",445460.0,0.000849,1.2e-05,Gaia:G
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",445460.0,0.000504,0.0,Gaia:G
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",479900.0,0.000629,2e-06,SDSS:r
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",621980.0,0.000421,1e-06,SDSS:g
144.0142217886046,16.7645277544297,I/353/gsc242,"-c=144.01420303582 +16.76450420840,eq=ICRS&-c.rs=0.004",851920.0,0.000113,2e-06,SDSS:u
144.01544999,16.7671487,I/353/gsc242,"-c=144.01544999000 +16.76714870000,eq=ICRS&-c.rs=0.004",332440.0,1.74e-05,1e-06,SDSS:z
144.01544999,16.7671487,I/353/gsc242,"-c=144.01544999000 +16.76714870000,eq=ICRS&-c.rs=0.004",392660.0,1.44e-05,6e-07,SDSS:i
144.01544999,16.7671487,I/353/gsc242,"-c=144.01544999000 +16.76714870000,eq=ICRS&-c.rs=0.004",479900.0,9.53e-06,3.7e-07,SDSS:r
144.01544999,16.7671487,I/353/gsc242,"-c=144.01544999000 +16.76714870000,eq=ICRS&-c.rs=0.004",621980.0,6.29e-06,3.5e-07,SDSS:g
144.01544999,16.7671487,I/353/gsc242,"-c=144.01544999000 +16.76714870000,eq=ICRS&-c.rs=0.004",851920.0,5.17e-06,2.25e-06,SDSS:u
144.0123345386581,16.7638157360048,I/353/gsc242,"-c=144.01233453866 +16.76381573600,eq=ICRS&-c.rs=0.004",332440.0,7.07e-06,2.95e-06,SDSS:z
144.0123345386581,16.7638157360048,I/353/gsc242,"-c=144.01233453866 +16.76381573600,eq=ICRS&-c.rs=0.004",392660.0,2.52e-06,8.9e-07,SDSS:i
144.0123345386581,16.7638157360048,I/353/gsc242,"-c=144.01233453866 +16.76381573600,eq=ICRS&-c.rs=0.004",479900.0,4.04e-06,6.8e-07,SDSS:r
144.0123345386581,16.7638157360048,I/353/gsc242,"-c=144.01233453866 +16.76381573600,eq=ICRS&-c.rs=0.004",621980.0,4.44e-06,4.9e-07,SDSS:g
144.0123345386581,16.7638157360048,I/353/gsc242,"-c=144.01233453866 +16.76381573600,eq=ICRS&-c.rs=0.004",851920.0,1.72e-06,9.9e-07,SDSS:u
144.01626666,16.76155926,I/353/gsc242,"-c=144.01626666000 +16.76155926000,eq=ICRS&-c.rs=0.004",479900.0,3.18e-05,2.5e-06,SDSS:r
144.01595721,16.76037308,I/353/gsc242,"-c=144.01595721000 +16.76037308000,eq=ICRS&-c.rs=0.004",138550.0,0.00434,0.00049,2MASS:Ks
144.01595721,16.76037308,I/353/gsc242,"-c=144.01595721000 +16.76037308000,eq=ICRS&-c.rs=0.004",181750.0,0.00482,0.00049,2MASS:H
144.01595721,16.76037308,I/353/gsc242,"-c=144.01595721000 +16.76037308000,eq=ICRS&-c.rs=0.004",241960.0,0.00486,0.00032,2MASS:J
144.01595721,16.76037308,I/353/gsc242,"-c=144.01595721000 +16.76037308000,eq=ICRS&-c.rs=0.004",332440.0,0.00049,1.6e-05,SDSS:z
144.01595721,16.76037308,I/353/gsc242,"-c=144.01595721000 +16.76037308000,eq=ICRS&-c.rs=0.004",392660.0,0.000577,2.5e-05,SDSS:i
144.01595721,16.76037308,I/353/gsc242,"-c=144.01595721000 +16.76037308000,eq=ICRS&-c.rs=0.004",479900.0,0.000406,2.5e-05,SDSS:r
144.01595721,16.76037308,I/353/gsc242,"-c=144.01595721000 +16.76037308000,eq=ICRS&-c.rs=0.004",621980.0,0.000253,8e-06,SDSS:g
144.01595721,16.76037308,I/353/gsc242,"-c=144.01595721000 +16.76037308000,eq=ICRS&-c.rs=0.004",851920.0,0.000809,7e-06,SDSS:u
144.0178040066178,16.7631143279544,I/353/gsc242,"-c=144.01780400662 +16.76311432795,eq=ICRS&-c.rs=0.004",332440.0,8.01e-05,3.1e-06,SDSS:z
144.0178040066178,16.7631143279544,I/353/gsc242,"-c=144.01780400662 +16.76311432795,eq=ICRS&-c.rs=0.004",392660.0,7.09e-05,1.1e-06,SDSS:i
144.0178040066178,16.7631143279544,I/353/gsc242,"-c=144.01780400662 +16.76311432795,eq=ICRS&-c.rs=0.004",479900.0,6.12e-05,8e-07,SDSS:r
144.0178040066178,16.7631143279544,I/353/gsc242,"-c=144.01780400662 +16.76311432795,eq=ICRS&-c.rs=0.004",621980.0,2.23e-05,5e-07,SDSS:g
144.0178040066178,16.7631143279544,I/353/gsc242,"-c=144.01780400662 +16.76311432795,eq=ICRS&-c.rs=0.004",851920.0,1.26e-06,7.5e-07,SDSS:u
144.0160692803244,16.7583853509015,I/353/gsc242,"-c=144.01606928032 +16.75838535090,eq=ICRS&-c.rs=0.004",332440.0,3.33e-06,1.9e-06,SDSS:z
144.0160692803244,16.7583853509015,I/353/gsc242,"-c=144.01606928032 +16.75838535090,eq=ICRS&-c.rs=0.004",392660.0,6.77e-06,9.1e-07,SDSS:i
