_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
310.9618917,12.5118722,I/297/out,"NOMAD1===1025-0726229&-c=310.9618917 +12.5118722,eq=J2000&-c.rs=",181750.0,0.000976,,2MASS:H
310.9618917,12.5118722,I/297/out,"NOMAD1===1025-0726229&-c=310.9618917 +12.5118722,eq=J2000&-c.rs=",241960.0,0.000766,,2MASS:J
310.9705028,12.5083944,I/297/out,"NOMAD1===1025-0726257&-c=310.9705028 +12.5083944,eq=J2000&-c.rs=",181750.0,0.0015,,2MASS:H
310.9705028,12.5083944,I/297/out,"NOMAD1===1025-0726257&-c=310.9705028 +12.5083944,eq=J2000&-c.rs=",241960.0,0.000493,,2MASS:J
310.9700628,12.51004,I/297/out,"NOMAD1===1025-0726254&-c=310.9700628 +12.5100400,eq=J2000&-c.rs=",181750.0,0.00102,,2MASS:H
310.9700628,12.51004,I/297/out,"NOMAD1===1025-0726254&-c=310.9700628 +12.5100400,eq=J2000&-c.rs=",241960.0,0.000324,,2MASS:J
310.962292,12.51632,I/305/out,"GSC2.3===N2QE014070&-c=310.962292 +12.516320,eq=J2000&-c.rs=0.00",468430.0,0.0179,0.0071,POSS-II:F
310.962292,12.51632,I/305/out,"GSC2.3===N2QE014070&-c=310.962292 +12.516320,eq=J2000&-c.rs=0.00",640580.0,0.0117,0.0046,POSS-II:J
310.962292,12.51632,I/305/out,"GSC2.3===N2QE014070&-c=310.962292 +12.516320,eq=J2000&-c.rs=0.00",674900.0,0.0048,0.0019,Johnson:B
310.966243,12.516515,I/305/out,"GSC2.3===N2QE014068&-c=310.966243 +12.516515,eq=J2000&-c.rs=0.00",468430.0,0.0179,0.0071,POSS-II:F
310.966243,12.516515,I/305/out,"GSC2.3===N2QE014068&-c=310.966243 +12.516515,eq=J2000&-c.rs=0.00",674900.0,0.00111,0.00044,Johnson:B
310.964286,12.513803,I/305/out,"GSC2.3===N2QE059598&-c=310.964286 +12.513803,eq=J2000&-c.rs=0.00",382540.0,0.0383,0.0163,POSS-II:i
310.964286,12.513803,I/305/out,"GSC2.3===N2QE059598&-c=310.964286 +12.513803,eq=J2000&-c.rs=0.00",674900.0,0.00761,0.00302,Johnson:B
310.968878,12.514738,I/305/out,"GSC2.3===N2QE014067&-c=310.968878 +12.514738,eq=J2000&-c.rs=0.00",468430.0,0.00177,0.0007,POSS-II:F
310.968878,12.514738,I/305/out,"GSC2.3===N2QE014067&-c=310.968878 +12.514738,eq=J2000&-c.rs=0.00",640580.0,0.00223,0.00091,POSS-II:J
310.957757,12.507578,I/305/out,"GSC2.3===N2QE012820&-c=310.957757 +12.507578,eq=J2000&-c.rs=0.00",468430.0,2.76e-05,1.29e-05,POSS-II:F
310.971919,12.50546,I/305/out,"GSC2.3===N2QE014064&-c=310.971919 +12.505460,eq=J2000&-c.rs=0.00",468430.0,0.0189,0.0075,POSS-II:F
310.971919,12.50546,I/305/out,"GSC2.3===N2QE014064&-c=310.971919 +12.505460,eq=J2000&-c.rs=0.00",640580.0,0.00732,0.0029,POSS-II:J
310.971919,12.50546,I/305/out,"GSC2.3===N2QE014064&-c=310.971919 +12.505460,eq=J2000&-c.rs=0.00",674900.0,0.00694,0.00275,Johnson:B
310.967595,12.506093,I/305/out,"GSC2.3===N2QE046672&-c=310.967595 +12.506093,eq=J2000&-c.rs=0.00",640580.0,0.0204,0.0083,POSS-II:J
310.965058,12.509594,I/305/out,"GSC2.3===N2QE046676&-c=310.965058 +12.509594,eq=J2000&-c.rs=0.00",468430.0,0.00535,0.00212,POSS-II:F
310.965058,12.509594,I/305/out,"GSC2.3===N2QE046676&-c=310.965058 +12.509594,eq=J2000&-c.rs=0.00",640580.0,0.062,0.0246,POSS-II:J
310.965058,12.509594,I/305/out,"GSC2.3===N2QE046676&-c=310.965058 +12.509594,eq=J2000&-c.rs=0.00",674900.0,0.00976,0.00387,Johnson:B
310.969948,12.50253,I/305/out,"GSC2.3===N2QE046569&-c=310.969948 +12.502530,eq=J2000&-c.rs=0.00",468430.0,2.34e-05,1.19e-05,POSS-II:F
310.969948,12.50253,I/305/out,"GSC2.3===N2QE046569&-c=310.969948 +12.502530,eq=J2000&-c.rs=0.00",640580.0,1.1e-05,6.1e-06,POSS-II:J
310.970336,12.508305,I/305/out,"GSC2.3===N2QE014062&-c=310.970336 +12.508305,eq=J2000&-c.rs=0.00",382540.0,0.00216,0.00092,POSS-II:i
310.970336,12.508305,I/305/out,"GSC2.3===N2QE014062&-c=310.970336 +12.508305,eq=J2000&-c.rs=0.00",468430.0,0.00479,0.0019,POSS-II:F
310.970336,12.508305,I/305/out,"GSC2.3===N2QE014062&-c=310.970336 +12.508305,eq=J2000&-c.rs=0.00",640580.0,0.0252,0.01,POSS-II:J
310.970336,12.508305,I/305/out,"GSC2.3===N2QE014062&-c=310.970336 +12.508305,eq=J2000&-c.rs=0.00",674900.0,0.00061,0.000242,Johnson:B
310.961849,12.511822,I/305/out,"GSC2.3===N2QE014071&-c=310.961849 +12.511822,eq=J2000&-c.rs=0.00",382540.0,0.00143,0.00061,POSS-II:i
310.961849,12.511822,I/305/out,"GSC2.3===N2QE014071&-c=310.961849 +12.511822,eq=J2000&-c.rs=0.00",468430.0,0.00693,0.00275,POSS-II:F
310.961849,12.511822,I/305/out,"GSC2.3===N2QE014071&-c=310.961849 +12.511822,eq=J2000&-c.rs=0.00",640580.0,0.00128,0.00051,POSS-II:J
310.961849,12.511822,I/305/out,"GSC2.3===N2QE014071&-c=310.961849 +12.511822,eq=J2000&-c.rs=0.00",674900.0,0.000241,9.5e-05,Johnson:B
310.967105,12.506841,I/305/out,"GSC2.3===N2QE014065&-c=310.967105 +12.506841,eq=J2000&-c.rs=0.00",382540.0,0.00477,0.00204,POSS-II:i
310.967105,12.506841,I/305/out,"GSC2.3===N2QE014065&-c=310.967105 +12.506841,eq=J2000&-c.rs=0.00",468430.0,0.0281,0.0111,POSS-II:F
310.967105,12.506841,I/305/out,"GSC2.3===N2QE014065&-c=310.967105 +12.506841,eq=J2000&-c.rs=0.00",640580.0,0.032,0.0127,POSS-II:J
310.967105,12.506841,I/305/out,"GSC2.3===N2QE014065&-c=310.967105 +12.506841,eq=J2000&-c.rs=0.00",674900.0,0.0224,0.0089,Johnson:B
310.970032,12.510183,I/305/out,"GSC2.3===N2QE014063&-c=310.970032 +12.510183,eq=J2000&-c.rs=0.00",382540.0,0.000729,0.000311,POSS-II:i
310.970032,12.510183,I/305/out,"GSC2.3===N2QE014063&-c=310.970032 +12.510183,eq=J2000&-c.rs=0.00",468430.0,0.00169,0.00067,POSS-II:F
310.970032,12.510183,I/305/out,"GSC2.3===N2QE014063&-c=310.970032 +12.510183,eq=J2000&-c.rs=0.00",640580.0,0.00202,0.00082,POSS-II:J
310.970032,12.510183,I/305/out,"GSC2.3===N2QE014063&-c=310.970032 +12.510183,eq=J2000&-c.rs=0.00",674900.0,0.000326,0.000129,Johnson:B
310.96160793,12.51177096,I/317/sample,"PPMXL=5604580474984658234&-c=310.961608 +12.511771,eq=J2000&-c.r",138550.0,0.000561,6.4e-05,2MASS:Ks
310.96160793,12.51177096,I/317/sample,"PPMXL=5604580474984658234&-c=310.961608 +12.511771,eq=J2000&-c.r",181750.0,0.000976,7.7e-05,2MASS:H
310.96160793,12.51177096,I/317/sample,"PPMXL=5604580474984658234&-c=310.961608 +12.511771,eq=J2000&-c.r",241960.0,0.000766,4.7e-05,2MASS:J
310.96152091,12.51171196,I/319/xpm,"-c=310.961521 +12.511712,eq=ICRS&-c.rs=0.004",138550.0,0.000561,6.4e-05,2MASS:Ks
310.96152091,12.51171196,I/319/xpm,"-c=310.961521 +12.511712,eq=ICRS&-c.rs=0.004",181750.0,0.000976,7.7e-05,2MASS:H
310.96152091,12.51171196,I/319/xpm,"-c=310.961521 +12.511712,eq=ICRS&-c.rs=0.004",241960.0,0.000766,4.7e-05,2MASS:J
310.96156812,12.51176703,I/327/cmc15,"-c=310.961568 +12.511767,eq=ICRS&-c.rs=0.004",181750.0,0.000976,,2MASS:H
310.96156812,12.51176703,I/327/cmc15,"-c=310.961568 +12.511767,eq=ICRS&-c.rs=0.004",241960.0,0.000766,,2MASS:J
310.97055292,12.50829804,I/327/cmc15,"-c=310.970553 +12.508298,eq=ICRS&-c.rs=0.004",241960.0,0.000493,,2MASS:J
310.97004199,12.50996602,I/327/cmc15,"-c=310.970042 +12.509966,eq=ICRS&-c.rs=0.004",241960.0,0.000324,,2MASS:J
310.970504530551,12.508262144256,I/337/gaia,"-c=310.9705045306 +12.5082621443,eq=ICRS&-c.rs=0.004",445460.0,0.000268,,Gaia:G
310.971517875918,12.505997620806,I/337/gaia,"-c=310.9715178759 +12.5059976208,eq=ICRS&-c.rs=0.004",445460.0,6.13e-05,,Gaia:G
310.968828982229,12.506978360707,I/337/gaia,"-c=310.9688289822 +12.5069783607,eq=ICRS&-c.rs=0.004",445460.0,2.83e-05,,Gaia:G
310.96151081041,12.511711017576,I/337/gaia,"-c=310.9615108104 +12.5117110176,eq=ICRS&-c.rs=0.004",445460.0,0.000312,,Gaia:G
310.957659124074,12.507452263286,I/337/gaia,"-c=310.9576591241 +12.5074522633,eq=ICRS&-c.rs=0.004",445460.0,2.52e-05,,Gaia:G
310.969969224339,12.509972495088,I/337/gaia,"-c=310.9699692243 +12.5099724951,eq=ICRS&-c.rs=0.004",445460.0,0.000217,,Gaia:G
310.971144280555,12.509825933826,I/337/gaia,"-c=310.9711442806 +12.5098259338,eq=ICRS&-c.rs=0.004",445460.0,4.58e-05,,Gaia:G
310.968855715623,12.514553028364,I/337/gaia,"-c=310.9688557156 +12.5145530284,eq=ICRS&-c.rs=0.004",445460.0,6.15e-05,,Gaia:G
310.961549771,12.5117559636,I/339/hsoy,"-c=310.9615497710 +12.5117559636,eq=J2000&-c.rs=0.004",181750.0,0.000976,7.7e-05,2MASS:H
310.961549771,12.5117559636,I/339/hsoy,"-c=310.9615497710 +12.5117559636,eq=J2000&-c.rs=0.004",241960.0,0.000766,4.7e-05,2MASS:J
310.961549771,12.5117559636,I/339/hsoy,"-c=310.9615497710 +12.5117559636,eq=J2000&-c.rs=0.004",445460.0,0.000312,1e-06,Gaia:G
310.96155251819,12.51177293635,I/343/gps1,"-c=310.961562569 +12.511782079,eq=ICRS&-c.rs=0.004",138550.0,0.000561,6.4e-05,2MASS:Ks
310.96155251819,12.51177293635,I/343/gps1,"-c=310.961562569 +12.511782079,eq=ICRS&-c.rs=0.004",181750.0,0.000976,7.7e-05,2MASS:H
310.96155251819,12.51177293635,I/343/gps1,"-c=310.961562569 +12.511782079,eq=ICRS&-c.rs=0.004",241960.0,0.000766,4.7e-05,2MASS:J
310.96155251819,12.51177293635,I/343/gps1,"-c=310.961562569 +12.511782079,eq=ICRS&-c.rs=0.004",312400.0,0.000412,3e-06,PAN-STARRS/PS1:y
310.96155251819,12.51177293635,I/343/gps1,"-c=310.961562569 +12.511782079,eq=ICRS&-c.rs=0.004",400800.0,0.00035,2e-06,PAN-STARRS/PS1:i
310.96155251819,12.51177293635,I/343/gps1,"-c=310.961562569 +12.511782079,eq=ICRS&-c.rs=0.004",445460.0,0.000312,1e-06,Gaia:G
310.96155251819,12.51177293635,I/343/gps1,"-c=310.961562569 +12.511782079,eq=ICRS&-c.rs=0.004",489400.0,0.000292,1e-06,PAN-STARRS/PS1:r
310.96155251819,12.51177293635,I/343/gps1,"-c=310.961562569 +12.511782079,eq=ICRS&-c.rs=0.004",628200.0,0.000145,1e-06,PAN-STARRS/PS1:g
310.96512029341,12.50739146659,I/343/gps1,"-c=310.964885771 +12.507223873,eq=ICRS&-c.rs=0.004",312400.0,3.86e-05,3.5e-06,PAN-STARRS/PS1:y
310.96512029341,12.50739146659,I/343/gps1,"-c=310.964885771 +12.507223873,eq=ICRS&-c.rs=0.004",400800.0,2.18e-05,1.1e-06,PAN-STARRS/PS1:i
310.96512029341,12.50739146659,I/343/gps1,"-c=310.964885771 +12.507223873,eq=ICRS&-c.rs=0.004",489400.0,2.87e-05,1.1e-06,PAN-STARRS/PS1:r
310.96512029341,12.50739146659,I/343/gps1,"-c=310.964885771 +12.507223873,eq=ICRS&-c.rs=0.004",628200.0,2.09e-05,1.3e-06,PAN-STARRS/PS1:g
310.96768163937,12.50691282845,I/343/gps1,"-c=310.967550774 +12.506972678,eq=ICRS&-c.rs=0.004",312400.0,8.06e-05,2.8e-06,PAN-STARRS/PS1:y
310.96768163937,12.50691282845,I/343/gps1,"-c=310.967550774 +12.506972678,eq=ICRS&-c.rs=0.004",400800.0,6.26e-05,2e-06,PAN-STARRS/PS1:i
310.96768163937,12.50691282845,I/343/gps1,"-c=310.967550774 +12.506972678,eq=ICRS&-c.rs=0.004",489400.0,0.000106,1e-06,PAN-STARRS/PS1:r
310.96768163937,12.50691282845,I/343/gps1,"-c=310.967550774 +12.506972678,eq=ICRS&-c.rs=0.004",628200.0,0.000129,6e-06,PAN-STARRS/PS1:g
310.96878382247,12.50701669862,I/343/gps1,"-c=310.968827645 +12.506990361,eq=ICRS&-c.rs=0.004",312400.0,7.48e-05,3.3e-06,PAN-STARRS/PS1:y
310.96878382247,12.50701669862,I/343/gps1,"-c=310.968827645 +12.506990361,eq=ICRS&-c.rs=0.004",400800.0,5.06e-05,1.1e-06,PAN-STARRS/PS1:i
310.96878382247,12.50701669862,I/343/gps1,"-c=310.968827645 +12.506990361,eq=ICRS&-c.rs=0.004",445460.0,2.83e-05,5e-07,Gaia:G
310.96878382247,12.50701669862,I/343/gps1,"-c=310.968827645 +12.506990361,eq=ICRS&-c.rs=0.004",489400.0,4.03e-05,1.3e-06,PAN-STARRS/PS1:r
310.97051229773,12.50830682532,I/343/gps1,"-c=310.970528268 +12.508296491,eq=ICRS&-c.rs=0.004",312400.0,0.00028,5e-06,PAN-STARRS/PS1:y
310.97051229773,12.50830682532,I/343/gps1,"-c=310.970528268 +12.508296491,eq=ICRS&-c.rs=0.004",400800.0,0.000276,1e-06,PAN-STARRS/PS1:i
310.97051229773,12.50830682532,I/343/gps1,"-c=310.970528268 +12.508296491,eq=ICRS&-c.rs=0.004",445460.0,0.000269,1e-06,Gaia:G
310.97051229773,12.50830682532,I/343/gps1,"-c=310.970528268 +12.508296491,eq=ICRS&-c.rs=0.004",489400.0,0.000281,3e-06,PAN-STARRS/PS1:r
310.97051229773,12.50830682532,I/343/gps1,"-c=310.970528268 +12.508296491,eq=ICRS&-c.rs=0.004",628200.0,0.000199,1.6e-05,PAN-STARRS/PS1:g
310.9705136407997,12.5082779460653,I/345/gaia2,"-c=310.97050425994 +12.50826173573,eq=ICRS&-c.rs=0.004",388100.0,0.000484,3e-06,GAIA/GAIA2:Grp
310.9705136407997,12.5082779460653,I/345/gaia2,"-c=310.97050425994 +12.50826173573,eq=ICRS&-c.rs=0.004",481500.0,0.000255,0.0,GAIA/GAIA2:G
310.9705136407997,12.5082779460653,I/345/gaia2,"-c=310.97050425994 +12.50826173573,eq=ICRS&-c.rs=0.004",594100.0,0.000253,2e-06,GAIA/GAIA2:Gbp
310.9614957639412,12.5117063365942,I/345/gaia2,"-c=310.96151144644 +12.51171125194,eq=ICRS&-c.rs=0.004",388100.0,0.000535,3e-06,GAIA/GAIA2:Grp
310.9614957639412,12.5117063365942,I/345/gaia2,"-c=310.96151144644 +12.51171125194,eq=ICRS&-c.rs=0.004",481500.0,0.000291,0.0,GAIA/GAIA2:G
310.9614957639412,12.5117063365942,I/345/gaia2,"-c=310.96151144644 +12.51171125194,eq=ICRS&-c.rs=0.004",594100.0,0.000172,2e-06,GAIA/GAIA2:Gbp
310.9688119474385,12.5069974244825,I/345/gaia2,"-c=310.96882923204 +12.50697761287,eq=ICRS&-c.rs=0.004",388100.0,0.000136,2e-06,GAIA/GAIA2:Grp
310.9688119474385,12.5069974244825,I/345/gaia2,"-c=310.96882923204 +12.50697761287,eq=ICRS&-c.rs=0.004",481500.0,2.42e-05,1e-07,GAIA/GAIA2:G
310.9688119474385,12.5069974244825,I/345/gaia2,"-c=310.96882923204 +12.50697761287,eq=ICRS&-c.rs=0.004",594100.0,6.51e-05,2.8e-06,GAIA/GAIA2:Gbp
310.9576766647739,12.5075037388036,I/345/gaia2,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",388100.0,5.35e-05,1.2e-06,GAIA/GAIA2:Grp
310.9576766647739,12.5075037388036,I/345/gaia2,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",481500.0,2.33e-05,2e-07,GAIA/GAIA2:G
310.9576766647739,12.5075037388036,I/345/gaia2,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",594100.0,1.25e-05,2.3e-06,GAIA/GAIA2:Gbp
310.9715578507486,12.5060309266917,I/345/gaia2,"-c=310.97151639928 +12.50599648522,eq=ICRS&-c.rs=0.004",388100.0,0.000217,3e-06,GAIA/GAIA2:Grp
310.9715578507486,12.5060309266917,I/345/gaia2,"-c=310.97151639928 +12.50599648522,eq=ICRS&-c.rs=0.004",481500.0,5.74e-05,2e-07,GAIA/GAIA2:G
310.9715578507486,12.5060309266917,I/345/gaia2,"-c=310.97151639928 +12.50599648522,eq=ICRS&-c.rs=0.004",594100.0,9.76e-05,3e-06,GAIA/GAIA2:Gbp
310.9688740098856,12.5145785280233,I/345/gaia2,"-c=310.96885505480 +12.51455214011,eq=ICRS&-c.rs=0.004",388100.0,0.000173,2e-06,GAIA/GAIA2:Grp
310.9688740098856,12.5145785280233,I/345/gaia2,"-c=310.96885505480 +12.51455214011,eq=ICRS&-c.rs=0.004",481500.0,5.53e-05,2e-07,GAIA/GAIA2:G
310.9688740098856,12.5145785280233,I/345/gaia2,"-c=310.96885505480 +12.51455214011,eq=ICRS&-c.rs=0.004",594100.0,7.36e-05,2e-06,GAIA/GAIA2:Gbp
310.969970874234,12.5099764208904,I/345/gaia2,"-c=310.96996870224 +12.50997225711,eq=ICRS&-c.rs=0.004",388100.0,0.000397,2e-06,GAIA/GAIA2:Grp
310.969970874234,12.5099764208904,I/345/gaia2,"-c=310.96996870224 +12.50997225711,eq=ICRS&-c.rs=0.004",481500.0,0.000207,0.0,GAIA/GAIA2:G
310.969970874234,12.5099764208904,I/345/gaia2,"-c=310.96996870224 +12.50997225711,eq=ICRS&-c.rs=0.004",594100.0,0.000217,2e-06,GAIA/GAIA2:Gbp
310.971164885168,12.5098357626359,I/345/gaia2,"-c=310.97114312605 +12.50982567692,eq=ICRS&-c.rs=0.004",388100.0,0.000209,3e-06,GAIA/GAIA2:Grp
310.971164885168,12.5098357626359,I/345/gaia2,"-c=310.97114312605 +12.50982567692,eq=ICRS&-c.rs=0.004",481500.0,4.19e-05,2e-07,GAIA/GAIA2:G
310.971164885168,12.5098357626359,I/345/gaia2,"-c=310.97114312605 +12.50982567692,eq=ICRS&-c.rs=0.004",594100.0,0.000113,2e-06,GAIA/GAIA2:Gbp
310.9716280027997,12.508429609912,I/345/gaia2,"-c=310.97162800280 +12.50842960991,eq=ICRS&-c.rs=0.004",388100.0,0.000227,1.2e-05,GAIA/GAIA2:Grp
310.9716280027997,12.508429609912,I/345/gaia2,"-c=310.97162800280 +12.50842960991,eq=ICRS&-c.rs=0.004",481500.0,5.72e-05,3.4e-06,GAIA/GAIA2:G
310.9716280027997,12.508429609912,I/345/gaia2,"-c=310.97162800280 +12.50842960991,eq=ICRS&-c.rs=0.004",594100.0,0.000122,8e-06,GAIA/GAIA2:Gbp
310.9705143851738,12.5082782877508,I/350/gaiaedr3,"-c=310.97050394107 +12.50826120136,eq=ICRS&-c.rs=0.004",393400.0,0.000359,4e-06,GAIA/GAIA3:Grp
310.9705143851738,12.5082782877508,I/350/gaiaedr3,"-c=310.97050394107 +12.50826120136,eq=ICRS&-c.rs=0.004",514900.0,0.000245,1e-06,GAIA/GAIA3:G
310.9705143851738,12.5082782877508,I/350/gaiaedr3,"-c=310.97050394107 +12.50826120136,eq=ICRS&-c.rs=0.004",595300.0,0.00019,2e-06,GAIA/GAIA3:Gbp
310.9715602775176,12.5060341818703,I/350/gaiaedr3,"-c=310.97151494959 +12.50599531348,eq=ICRS&-c.rs=0.004",393400.0,9.11e-05,4.2e-06,GAIA/GAIA3:Grp
310.9715602775176,12.5060341818703,I/350/gaiaedr3,"-c=310.97151494959 +12.50599531348,eq=ICRS&-c.rs=0.004",514900.0,5.16e-05,2e-07,GAIA/GAIA3:G
310.9715602775176,12.5060341818703,I/350/gaiaedr3,"-c=310.97151494959 +12.50599531348,eq=ICRS&-c.rs=0.004",595300.0,3.04e-05,1.9e-06,GAIA/GAIA3:Gbp
310.9688283876503,12.507007566983,I/350/gaiaedr3,"-c=310.96882934741 +12.50697686236,eq=ICRS&-c.rs=0.004",393400.0,3.87e-05,5.6e-06,GAIA/GAIA3:Grp
310.9688283876503,12.507007566983,I/350/gaiaedr3,"-c=310.96882934741 +12.50697686236,eq=ICRS&-c.rs=0.004",514900.0,2.08e-05,1e-07,GAIA/GAIA3:G
310.9688283876503,12.507007566983,I/350/gaiaedr3,"-c=310.96882934741 +12.50697686236,eq=ICRS&-c.rs=0.004",595300.0,1.65e-05,2.1e-06,GAIA/GAIA3:Gbp
310.9675087671865,12.5069759684226,I/350/gaiaedr3,"-c=310.96750876719 +12.50697596842,eq=ICRS&-c.rs=0.004",393400.0,7.92e-05,3.9e-06,GAIA/GAIA3:Grp
310.9675087671865,12.5069759684226,I/350/gaiaedr3,"-c=310.96750876719 +12.50697596842,eq=ICRS&-c.rs=0.004",514900.0,9.28e-06,2.4e-07,GAIA/GAIA3:G
310.9675087671865,12.5069759684226,I/350/gaiaedr3,"-c=310.96750876719 +12.50697596842,eq=ICRS&-c.rs=0.004",595300.0,7.61e-05,4.1e-06,GAIA/GAIA3:Gbp
310.9614975675038,12.5117073380222,I/350/gaiaedr3,"-c=310.96151185729 +12.51171139810,eq=ICRS&-c.rs=0.004",393400.0,0.00049,6e-06,GAIA/GAIA3:Grp
310.9614975675038,12.5117073380222,I/350/gaiaedr3,"-c=310.96151185729 +12.51171139810,eq=ICRS&-c.rs=0.004",514900.0,0.000288,1e-06,GAIA/GAIA3:G
310.9614975675038,12.5117073380222,I/350/gaiaedr3,"-c=310.96151185729 +12.51171139810,eq=ICRS&-c.rs=0.004",595300.0,0.000157,4e-06,GAIA/GAIA3:Gbp
310.9576857923433,12.5075000860391,I/350/gaiaedr3,"-c=310.95765797401 +12.50744884864,eq=ICRS&-c.rs=0.004",393400.0,4.79e-05,2.8e-06,GAIA/GAIA3:Grp
310.9576857923433,12.5075000860391,I/350/gaiaedr3,"-c=310.95765797401 +12.50744884864,eq=ICRS&-c.rs=0.004",514900.0,2.37e-05,1e-07,GAIA/GAIA3:G
310.9576857923433,12.5075000860391,I/350/gaiaedr3,"-c=310.95765797401 +12.50744884864,eq=ICRS&-c.rs=0.004",595300.0,1.92e-05,3e-06,GAIA/GAIA3:Gbp
310.9699704742291,12.5099777580663,I/350/gaiaedr3,"-c=310.96996866846 +12.50997210012,eq=ICRS&-c.rs=0.004",393400.0,0.000274,5e-06,GAIA/GAIA3:Grp
310.9699704742291,12.5099777580663,I/350/gaiaedr3,"-c=310.96996866846 +12.50997210012,eq=ICRS&-c.rs=0.004",514900.0,0.000197,1e-06,GAIA/GAIA3:G
310.9699704742291,12.5099777580663,I/350/gaiaedr3,"-c=310.96996866846 +12.50997210012,eq=ICRS&-c.rs=0.004",595300.0,0.000153,3e-06,GAIA/GAIA3:Gbp
310.9711651604186,12.5098408803131,I/350/gaiaedr3,"-c=310.97114253636 +12.50982527270,eq=ICRS&-c.rs=0.004",393400.0,8.06e-05,3.6e-06,GAIA/GAIA3:Grp
310.9711651604186,12.5098408803131,I/350/gaiaedr3,"-c=310.97114253636 +12.50982527270,eq=ICRS&-c.rs=0.004",514900.0,3.57e-05,2e-07,GAIA/GAIA3:G
310.9711651604186,12.5098408803131,I/350/gaiaedr3,"-c=310.97114253636 +12.50982527270,eq=ICRS&-c.rs=0.004",595300.0,3.75e-05,2e-06,GAIA/GAIA3:Gbp
310.9716278237369,12.5084299964127,I/350/gaiaedr3,"-c=310.97162782374 +12.50842999641,eq=ICRS&-c.rs=0.004",393400.0,9.46e-05,1.96e-05,GAIA/GAIA3:Grp
310.9716278237369,12.5084299964127,I/350/gaiaedr3,"-c=310.97162782374 +12.50842999641,eq=ICRS&-c.rs=0.004",514900.0,4.84e-05,3.1e-06,GAIA/GAIA3:G
310.9716278237369,12.5084299964127,I/350/gaiaedr3,"-c=310.97162782374 +12.50842999641,eq=ICRS&-c.rs=0.004",595300.0,4.95e-05,6e-06,GAIA/GAIA3:Gbp
310.9688761914576,12.5145773564559,I/350/gaiaedr3,"-c=310.96885448042 +12.51455130822,eq=ICRS&-c.rs=0.004",393400.0,7.66e-05,4e-06,GAIA/GAIA3:Grp
310.9688761914576,12.5145773564559,I/350/gaiaedr3,"-c=310.96885448042 +12.51455130822,eq=ICRS&-c.rs=0.004",514900.0,5.17e-05,2e-07,GAIA/GAIA3:G
310.9688761914576,12.5145773564559,I/350/gaiaedr3,"-c=310.96885448042 +12.51455130822,eq=ICRS&-c.rs=0.004",595300.0,2.54e-05,2.6e-06,GAIA/GAIA3:Gbp
310.9576766647737,12.5075037388068,I/353/gsc242,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",332440.0,8.15e-05,1.5e-06,SDSS:z
310.9576766647737,12.5075037388068,I/353/gsc242,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",392660.0,5.03e-05,9e-07,SDSS:i
310.9576766647737,12.5075037388068,I/353/gsc242,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",445460.0,1.07e-05,1.8e-06,Gaia:G
310.9576766647737,12.5075037388068,I/353/gsc242,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",445460.0,6.16e-05,1.3e-06,Gaia:G
310.9576766647737,12.5075037388068,I/353/gsc242,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",445460.0,2.13e-05,2e-07,Gaia:G
310.9576766647737,12.5075037388068,I/353/gsc242,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",479900.0,1.7e-05,3e-07,SDSS:r
310.9576766647737,12.5075037388068,I/353/gsc242,"-c=310.95765819250 +12.50745047756,eq=ICRS&-c.rs=0.004",621980.0,8.01e-06,4.5e-07,SDSS:g
310.9702319352337,12.5082654618669,I/353/gsc242,"-c=310.97033691406 +12.50830459595,eq=ICRS&-c.rs=0.004",138550.0,0.000296,6.8e-05,2MASS:Ks
310.9702319352337,12.5082654618669,I/353/gsc242,"-c=310.97033691406 +12.50830459595,eq=ICRS&-c.rs=0.004",241960.0,0.000493,6.1e-05,2MASS:J
310.9718519409948,12.5058318836776,I/353/gsc242,"-c=310.97181836000 +12.50572463000,eq=ICRS&-c.rs=0.004",479900.0,0.000585,7e-06,SDSS:r
310.9675562602011,12.5069420936277,I/353/gsc242,"-c=310.96751591000 +12.50693446000,eq=ICRS&-c.rs=0.004",332440.0,8.17e-05,1.1e-05,SDSS:z
310.9675562602011,12.5069420936277,I/353/gsc242,"-c=310.96751591000 +12.50693446000,eq=ICRS&-c.rs=0.004",392660.0,8.82e-05,2.9e-06,SDSS:i
310.9675562602011,12.5069420936277,I/353/gsc242,"-c=310.96751591000 +12.50693446000,eq=ICRS&-c.rs=0.004",479900.0,0.000122,1e-06,SDSS:r
310.9675562602011,12.5069420936277,I/353/gsc242,"-c=310.96751591000 +12.50693446000,eq=ICRS&-c.rs=0.004",621980.0,0.00012,6e-06,SDSS:g
