_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
25.0898661,-28.9127803,I/297/out,"NOMAD1===0610-0016889&-c=025.0898661 -28.9127803,eq=J2000&-c.rs=",181750.0,0.00612,,2MASS:H
25.0898661,-28.9127803,I/297/out,"NOMAD1===0610-0016889&-c=025.0898661 -28.9127803,eq=J2000&-c.rs=",241960.0,0.00509,,2MASS:J
25.093893,-28.91055,I/305/out,"GSC2.3===S2VJ016893&-c=025.093893 -28.910550,eq=J2000&-c.rs=0.00",382540.0,6.47e-05,3.15e-05,POSS-II:i
25.089873,-28.91279,I/305/out,"GSC2.3===S2VJ000014&-c=025.089873 -28.912790,eq=J2000&-c.rs=0.00",382540.0,0.456,0.181,POSS-II:i
25.089873,-28.91279,I/305/out,"GSC2.3===S2VJ000014&-c=025.089873 -28.912790,eq=J2000&-c.rs=0.00",468430.0,1.14,0.43,POSS-II:F
25.089873,-28.91279,I/305/out,"GSC2.3===S2VJ000014&-c=025.089873 -28.912790,eq=J2000&-c.rs=0.00",640580.0,0.781,0.189,POSS-II:J
25.093268,-28.91697,I/305/out,"GSC2.3===S2VJ015749&-c=025.093268 -28.916970,eq=J2000&-c.rs=0.00",640580.0,0.0198,0.0048,POSS-II:J
25.088446,-28.919612,I/305/out,"GSC2.3===S2VJ005727&-c=025.088446 -28.919612,eq=J2000&-c.rs=0.00",468430.0,0.00172,0.00065,POSS-II:F
25.088446,-28.919612,I/305/out,"GSC2.3===S2VJ005727&-c=025.088446 -28.919612,eq=J2000&-c.rs=0.00",640580.0,0.0024,0.00058,POSS-II:J
25.091431,-28.924676,I/305/out,"GSC2.3===S2VJ005402&-c=025.091431 -28.924676,eq=J2000&-c.rs=0.00",468430.0,1.72e-05,1.06e-05,POSS-II:F
25.095155,-28.925504,I/305/out,"GSC2.3===S2VJ005396&-c=025.095155 -28.925504,eq=J2000&-c.rs=0.00",468430.0,3.5e-05,1.49e-05,POSS-II:F
25.095155,-28.925504,I/305/out,"GSC2.3===S2VJ005396&-c=025.095155 -28.925504,eq=J2000&-c.rs=0.00",640580.0,2.27e-05,6.4e-06,POSS-II:J
25.08980703,-28.91273403,I/317/sample,"PPMXL=1509972397697725956&-c=025.089807 -28.912734,eq=J2000&-c.r",138550.0,0.00687,0.00065,2MASS:Ks
25.08980703,-28.91273403,I/317/sample,"PPMXL=1509972397697725956&-c=025.089807 -28.912734,eq=J2000&-c.r",181750.0,0.00612,0.0008,2MASS:H
25.08980703,-28.91273403,I/317/sample,"PPMXL=1509972397697725956&-c=025.089807 -28.912734,eq=J2000&-c.r",241960.0,0.00509,0.00055,2MASS:J
25.0897051,-28.9127495,I/320/spm4,"-c=025.0897051 -28.9127495,eq=J2000&-c.rs=0.004",138550.0,0.00687,,2MASS:Ks
25.0897051,-28.9127495,I/320/spm4,"-c=025.0897051 -28.9127495,eq=J2000&-c.rs=0.004",181750.0,0.00612,,2MASS:H
25.0897051,-28.9127495,I/320/spm4,"-c=025.0897051 -28.9127495,eq=J2000&-c.rs=0.004",241960.0,0.00509,,2MASS:J
25.0897051,-28.9127495,I/320/spm4,"-c=025.0897051 -28.9127495,eq=J2000&-c.rs=0.004",541430.0,0.000261,,Johnson:V
25.0897051,-28.9127495,I/320/spm4,"-c=025.0897051 -28.9127495,eq=J2000&-c.rs=0.004",674900.0,0.000123,,Johnson:B
25.0898709,-28.9128414,I/322A/out,"UCAC4===306-001602&-c=025.0898709 -28.9128414,eq=J2000&-c.rs=0.0",138550.0,0.00687,0.00063,2MASS:Ks
25.0898709,-28.9128414,I/322A/out,"UCAC4===306-001602&-c=025.0898709 -28.9128414,eq=J2000&-c.rs=0.0",181750.0,0.00612,0.00079,2MASS:H
25.0898709,-28.9128414,I/322A/out,"UCAC4===306-001602&-c=025.0898709 -28.9128414,eq=J2000&-c.rs=0.0",241960.0,0.00509,0.00056,2MASS:J
25.090201378,-28.912861705,I/331/apop,"-c=025.0902014 -28.9128617,eq=ICRS&-c.rs=0.004",138550.0,0.00687,,2MASS:Ks
25.090201378,-28.912861705,I/331/apop,"-c=025.0902014 -28.9128617,eq=ICRS&-c.rs=0.004",181750.0,0.00612,,2MASS:H
25.090201378,-28.912861705,I/331/apop,"-c=025.0902014 -28.9128617,eq=ICRS&-c.rs=0.004",241960.0,0.00509,,2MASS:J
25.089851656556,-28.912736406372,I/337/gaia,"-c=025.0898516566 -28.9127364064,eq=ICRS&-c.rs=0.004",445460.0,0.000468,,Gaia:G
25.0897621624,-28.9127001363,I/339/hsoy,"-c=025.0897621624 -28.9127001363,eq=J2000&-c.rs=0.004",181750.0,0.00612,0.0008,2MASS:H
25.0897621624,-28.9127001363,I/339/hsoy,"-c=025.0897621624 -28.9127001363,eq=J2000&-c.rs=0.004",241960.0,0.00509,0.00055,2MASS:J
25.0897621624,-28.9127001363,I/339/hsoy,"-c=025.0897621624 -28.9127001363,eq=J2000&-c.rs=0.004",445460.0,0.000468,1.2e-05,Gaia:G
25.089876289,-28.912858907,I/340/ucac5,"-c=025.0898781 -28.9128678,eq=J2000&-c.rs=0.004",181750.0,0.00612,,2MASS:H
25.089876289,-28.912858907,I/340/ucac5,"-c=025.0898781 -28.9128678,eq=J2000&-c.rs=0.004",241960.0,0.00509,,2MASS:J
25.089876289,-28.912858907,I/340/ucac5,"-c=025.0898781 -28.9128678,eq=J2000&-c.rs=0.004",445460.0,0.000468,,Gaia:G
25.09521098007,-28.91229116294,I/343/gps1,"-c=025.095231849 -28.912302942,eq=ICRS&-c.rs=0.004",400800.0,5.74e-05,3.2e-06,PAN-STARRS/PS1:i
25.09521098007,-28.91229116294,I/343/gps1,"-c=025.095231849 -28.912302942,eq=ICRS&-c.rs=0.004",489400.0,9.79e-05,4.06e-05,PAN-STARRS/PS1:r
25.09521098007,-28.91229116294,I/343/gps1,"-c=025.095231849 -28.912302942,eq=ICRS&-c.rs=0.004",628200.0,7.2e-05,4.4e-06,PAN-STARRS/PS1:g
25.0898494126368,-28.9127338004151,I/345/gaia2,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",481500.0,0.000384,1e-05,GAIA/GAIA2:G
25.0898526166369,-28.912736092904,I/350/gaiaedr3,"-c=025.08985261664 -28.91273609290,eq=ICRS&-c.rs=0.004",393400.0,0.00276,2e-05,GAIA/GAIA3:Grp
25.0898526166369,-28.912736092904,I/350/gaiaedr3,"-c=025.08985261664 -28.91273609290,eq=ICRS&-c.rs=0.004",514900.0,6.68e-05,6e-07,GAIA/GAIA3:G
25.0898526166369,-28.912736092904,I/350/gaiaedr3,"-c=025.08985261664 -28.91273609290,eq=ICRS&-c.rs=0.004",595300.0,0.00125,2e-05,GAIA/GAIA3:Gbp
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",13571.0,0.0024,,WISE:W4
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",25934.0,0.000512,,WISE:W3
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",65172.0,1.76e-05,,WISE:W2
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",89490.0,4.4e-05,4.5e-06,WISE:W1
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",138550.0,1.78e-05,2.4e-06,2MASS:Ks
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",181750.0,1.29e-05,2.8e-06,2MASS:H
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",241960.0,1.43e-05,1.3e-06,2MASS:J
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",294380.0,1.51e-05,1.2e-06,VISTA:Y
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",332440.0,1.62e-05,2.7e-06,SDSS:z
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",342150.0,1.62e-05,6e-07,VISTA:Z
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",392660.0,1.59e-05,1.9e-06,SDSS:i
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",479900.0,1.03e-05,1e-06,SDSS:r
25.0953829899472,-28.9258155626094,I/353/gsc242,"-c=025.09527673000 -28.92564448000,eq=ICRS&-c.rs=0.004",621980.0,1.14e-05,7e-07,SDSS:g
25.0884849497438,-28.9194661188165,I/353/gsc242,"-c=025.08858716000 -28.91960490000,eq=ICRS&-c.rs=0.004",138550.0,4.85e-05,2.4e-06,2MASS:Ks
25.0884849497438,-28.9194661188165,I/353/gsc242,"-c=025.08858716000 -28.91960490000,eq=ICRS&-c.rs=0.004",181750.0,5.67e-05,2.9e-06,2MASS:H
25.0884849497438,-28.9194661188165,I/353/gsc242,"-c=025.08858716000 -28.91960490000,eq=ICRS&-c.rs=0.004",241960.0,5.33e-05,1.4e-06,2MASS:J
25.0884849497438,-28.9194661188165,I/353/gsc242,"-c=025.08858716000 -28.91960490000,eq=ICRS&-c.rs=0.004",294380.0,4.73e-05,1.3e-06,VISTA:Y
25.0884849497438,-28.9194661188165,I/353/gsc242,"-c=025.08858716000 -28.91960490000,eq=ICRS&-c.rs=0.004",332440.0,5.24e-05,5.8e-06,SDSS:z
25.0884849497438,-28.9194661188165,I/353/gsc242,"-c=025.08858716000 -28.91960490000,eq=ICRS&-c.rs=0.004",342150.0,4.67e-05,7e-07,VISTA:Z
25.0884849497438,-28.9194661188165,I/353/gsc242,"-c=025.08858716000 -28.91960490000,eq=ICRS&-c.rs=0.004",392660.0,3.4e-05,1.8e-06,SDSS:i
25.0884849497438,-28.9194661188165,I/353/gsc242,"-c=025.08858716000 -28.91960490000,eq=ICRS&-c.rs=0.004",621980.0,3.26e-05,1e-07,SDSS:g
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",13571.0,0.0523,0.0019,WISE:W4
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",25934.0,0.0294,0.0005,WISE:W3
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",65172.0,0.00749,0.00014,WISE:W2
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",89490.0,0.013,0.0003,WISE:W1
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",138550.0,0.00374,1e-05,2MASS:Ks
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",181750.0,0.00612,0.0008,2MASS:H
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",241960.0,0.00222,0.0,2MASS:J
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",294380.0,0.00312,1e-05,VISTA:Y
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",332440.0,0.00297,0.00019,SDSS:z
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",342150.0,0.00266,0.0,VISTA:Z
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",392660.0,0.00222,2e-05,SDSS:i
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",445460.0,0.000351,9e-06,Gaia:G
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",479900.0,0.00123,1e-05,SDSS:r
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",621980.0,0.000817,3.2e-05,SDSS:g
25.0898494126368,-28.9127338004151,I/353/gsc242,"-c=025.08984941264 -28.91273380042,eq=ICRS&-c.rs=0.004",851920.0,0.000355,5.1e-05,SDSS:u
25.090031,-28.912777,I/353/gsc242,"-c=025.09003100000 -28.91277700000,eq=ICRS&-c.rs=0.004",138550.0,0.0613,0.0024,2MASS:Ks
25.090031,-28.912777,I/353/gsc242,"-c=025.09003100000 -28.91277700000,eq=ICRS&-c.rs=0.004",181750.0,0.0737,0.0022,2MASS:H
25.090031,-28.912777,I/353/gsc242,"-c=025.09003100000 -28.91277700000,eq=ICRS&-c.rs=0.004",241960.0,0.0574,0.0013,2MASS:J
